Imagem,IoU
25.jpg,0.9856903553115574
44.jpg,0.9906628623872223
63.jpg,0.0
1.jpg,0.9568840080284575
10.jpg,0.9920094881449224
100.jpg,0.9753798162306306
101.jpg,0.9815649827953331
102.jpg,0.9724982768999458
11.jpg,0.9866513667919666
12.jpg,0.8599170346753752
13.jpg,0.8650927836584363
14.jpg,0.8586823577436317
15.jpg,0.8784642124522858
16.jpg,0.742457217085319
17.jpg,0.8030474097598235
18.jpg,0.758103773571789
19.jpg,0.960566889637094
2.jpg,0.8722702204346965
20.jpg,0.951545755302579
21.jpg,0.9514269661302638
22.jpg,0.962020584091506
23.jpg,0.954699491145362
24.jpg,0.9800191530388194
26.jpg,0.9912672743886094
27.jpg,0.9832075493366856
28.jpg,0.9851362717323144
29.jpg,0.991232728938652
3.jpg,0.9743704465842845
30.jpg,0.9862988022736823
31.jpg,0.9771156128979874
32.jpg,0.9865273650163083
33.jpg,0.9743499224575395
34.jpg,0.9738464512271632
35.jpg,0.9839711834794338
36.jpg,0.9738005794804293
37.jpg,0.9676701317180396
38.jpg,0.9710682898942311
39.jpg,0.0
4.jpg,0.9063554784693969
40.jpg,0.9583893734711169
41.jpg,0.9567198700743972
42.jpg,0.9580592505536761
43.jpg,0.9670688921329158
45.jpg,0.9818970889178631
46.jpg,0.9868765276326902
47.jpg,0.9816008061160456
48.jpg,0.9851027594061165
49.jpg,0.9867518822618043
5.jpg,0.9872891457930248
50.jpg,0.9818589918250085
51.jpg,0.9726203181613466
52.jpg,0.9777580239824106
53.jpg,0.8471790335157059
54.jpg,0.9736536146067765
55.jpg,0.9651923633923045
56.jpg,0.9715947148993577
57.jpg,0.9590579643479031
58.jpg,0.9690944915603263
59.jpg,0.9774868916947674
6.jpg,0.9886830680173662
60.jpg,0.9710071934653811
61.jpg,0.9789650739799898
62.jpg,0.9693247936474592
64.jpg,0.23225698332969186
65.jpg,0.7763446142229625
66.jpg,0.7103416296783227
67.jpg,0.9569651042830285
68.jpg,0.9746906570476598
69.jpg,0.9849265831722396
7.jpg,0.9872423338238904
70.jpg,0.9541159059246304
71.jpg,0.988011540313669
72.jpg,0.9797776050490151
73.jpg,0.9621432577263662
74.jpg,0.9735596601599679
75.jpg,0.9807089915708933
76.jpg,0.9847171500302606
77.jpg,0.9440480294347531
78.jpg,0.957933059937695
79.jpg,0.9692709870323928
8.jpg,0.9821018752307672
80.jpg,0.9737902178762828
81.jpg,0.9728642718655445
82.jpg,0.9656096817366069
83.jpg,0.9572139663607616
84.jpg,0.9593518166097215
85.jpg,0.9773086446136194
86.jpg,0.9484731309105752
87.jpg,0.9665137151299606
88.jpg,0.9588361668215372
89.jpg,0.9844811963372165
9.jpg,0.983851729465186
90.jpg,0.9758631747166558
91.jpg,0.9823164563841622
92.jpg,0.9907012008148272
93.jpg,0.9815716147290512
94.jpg,0.9780422160578762
95.jpg,0.9688922070306868
96.jpg,0.9861904160505272
97.jpg,0.9731132370243631
98.jpg,0.9846996849805689
99.jpg,0.9736349319955548
